날짜	상대	이닝	투수	타자	P	결과	이전상황	이후상황	LEV	REa	WPs	WPe	WPa
2023-07-27	SSG	1말	김광현	2 이재현	2-3	볼넷	무사 1루 0:0	무사 1,2루 0:0	1.42	0.620	58.3	63.7	0.054
2023-07-27	SSG	3말	김광현	2 이재현	1-0	투수 땅볼	무사 2:2	1사 2:2	0.99	-0.258	55.5	53.0	-0.025
2023-07-27	SSG	4말	김광현	2 이재현	2-2	유격수 땅볼	1사 2,3루 4:3	2사 2루 4:4	2.05	-0.123	54.2	54.1	-0.001
2023-07-27	SSG	6말	백승건	2 이재현	2-1	좌익수 안타	1사 1,2루 4:4	1사 만루 4:4	2.78	0.679	62.7	70.9	0.082
2023-07-27	SSG	8말	이건욱	2 이재현	2-3	이재현/15034 : 1루수 직선타 아웃	2사 2루 4:6	이닝종료 4:6	0.36	-0.344	93.7	92.6	-0.010
2023-07-28	키움	3초	후라도	9 이재현	0-0	우익수 안타	2사 0:2	2사 1루 0:2	0.42	0.134	75.7	74.4	0.013
2023-07-28	키움	5초	후라도	9 이재현	2-1	이재현/15034 : 삼진 아웃	1사 2루 0:2	2사 2루 0:2	1.56	-0.381	73.4	77.7	-0.044
2023-07-28	키움	8초	후라도	9 이재현	2-3	3루수 내야안타	1사 0:3	1사 1루 0:3	0.54	0.276	95.3	92.8	0.026
2023-07-28	키움	9초	하영민	9 이재현	0-0	투수 희생번트	무사 1,2루 2:4	1사 2,3루 2:4	4.46	-0.106	72.9	76.6	-0.037
2023-07-28	키움	11초	양현	9 이재현	1-1	중견수 뜬공	1사 4:4	2사 4:4	1.80	-0.180	55.9	60.4	-0.045
2023-07-28	키움	12초	문성현	9 이재현	0-0	좌익수 뜬공	2사 1루 5:4	이닝종료 5:4	0.64	-0.251	18.2	20.0	-0.018
2023-07-29	키움	2초	김동혁	7 이재현	1-1	우익수 안타	1사 2루 0:0	1사 1루 1:0	1.29	0.848	48.1	39.3	0.088
2023-07-29	키움	4초	양현	7 이재현	0-1	1루수 땅볼	무사 4:2	1사 4:2	0.69	-0.258	26.7	28.5	-0.018
2023-07-29	키움	6초	주승우	7 이재현	2-1	이재현/15034 : 삼진 아웃	1사 3루 4:2	2사 3루 4:2	1.12	-0.596	17.7	22.4	-0.048
2023-07-29	키움	7초	주승우	7 이재현	2-2	유격수 땅볼	2사 1,2루 5:2	이닝종료 5:2	0.68	-0.466	10.6	12.4	-0.017
2023-07-29	키움	9초	오상원	7 이재현	2-3	중견수 뜬공	1사 1루 7:2	2사 1루 7:2	0.03	-0.322	0.6	0.7	-0.001
2023-07-30	키움	2초	하영민	9 이재현	0-2	유격수 땅볼 실책[실책포함]	2사 1루 8:0	2사 3루 9:0	0.08	1.136	3.1	1.9	0.013
2023-07-30	키움	4초	이명종	9 이재현	2-2	중견수 뜬공	2사 9:0	이닝종료 9:0	0.01	-0.117	1.1	1.2	-0.000
2023-07-30	키움	7초	주승우	9 이재현	2-1	3루수 뜬공	1사 9:2	2사 9:2	0.02	-0.180	0.9	0.9	-0.001
