AREA	LEVEL	DAY	PERIOD	DEPOSIT	RENT	CONTRACT	RENEWAL	DEPOSIT_PREV	RENT_PREV	DROPPED
12월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
84.99	7	11	22.10~24.10	69,300	0	갱신	사용	66,000	0	보기
59.99	6	10	22.09~24.09	52,500	0	갱신	사용	50,000	0	보기
59.99	8	10	22.08~24.08	52,500	0	갱신	사용	50,000	0	보기
59.99	14	10	22.09~24.09	56,000	0	갱신	-	52,000	0	보기
59.99	7	8	22.09~24.09	5,000	190	신규	-	-	-	보기
59.99	12	8	22.08~24.08	55,650	0	갱신	사용	53,000	0	보기
84.99	8	6	-	75,000	0	-	-	-	-	보기
84.99	15	4	-	49,000	40	-	-	-	-	보기
84.99	15	4	22.10~24.10	49,000	40	-	-	-	-	보기
7월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
59.99	8	30	22.10~24.10	45,000	55	갱신	-	45,000	25	보기
59.99	10	30	22.08~24.08	53,550	0	갱신	사용	51,000	0	보기
128.81	19	30	22.07~24.07	50,000	200	갱신	-	12,000	180	보기
84.99	4	29	-	68,000	0	-	-	-	-	보기
119.63	11	29	22.09~24.09	24,000	200	갱신	-	15,000	200	보기
128.81	10	29	22.09~24.09	87,150	0	갱신	사용	83,000	0	보기
84.99	7	28	22.09~24.09	10,500	137	갱신	-	10,000	130	보기
59.99	3	27	22.08~24.08	50,000	55	신규	-	-	-	보기
84.99	6	27	22.09~24.09	35,000	140	갱신	-	35,000	80	보기
84.99	1	27	22.10~24.10	62,000	40	갱신	사용	62,000	30	보기
84.99	1	27	-	62,000	40	-	-	-	-	보기
84.99	18	25	22.08~24.08	25,000	115	갱신	사용	35,000	70	보기
84.99	7	23	22.08~24.08	66,000	0	갱신	사용	63,000	0	보기
84.99	17	21	22.09~24.09	10,000	200	갱신	사용	10,000	190	보기
128.81	7	21	22.08~24.08	86,000	0	갱신	사용	82,000	0	보기
128.81	10	20	-	100,000	0	-	-	-	-	보기
128.81	10	20	22.10~24.10	100,000	0	갱신	-	71,000	0	보기
128.81	14	19	22.10~24.10	113,000	0	신규	-	-	-	보기
84.99	13	18	22.07~24.07	70,000	0	갱신	-	60,000	0	보기
84.99	18	18	22.09~24.09	75,000	0	신규	-	-	-	보기
59.99	13	15	22.09~24.09	7,300	130	갱신	-	5,000	130	보기
59.99	7	15	22.08~24.08	49,350	0	갱신	사용	47,000	0	보기
59.99	12	14	22.10~24.10	25,000	72	신규	-	-	-	보기
59.99	2	14	22.09~24.09	64,000	0	-	-	-	-	보기
84.99	9	14	22.07~24.07	60,000	0	갱신	-	55,000	0	보기
84.99	2	12	22.08~24.08	60,000	70	신규	-	-	-	보기
84.99	13	12	22.08~24.08	75,000	15	신규	-	-	-	보기
59.99	12	9	22.07~24.07	49,000	0	갱신	-	47,000	0	보기
59.99	2	9	-	49,300	0	-	-	-	-	보기
84.99	12	9	22.07~24.07	57,700	0	갱신	사용	55,000	0	보기
84.99	13	9	22.10~24.10	77,000	0	신규	-	-	-	보기
84.99	2	9	22.09~24.09	79,000	0	신규	-	-	-	보기
84.99	16	8	22.08~24.08	15,000	180	갱신	-	15,000	120	보기
59.99	6	7	22.07~24.07	51,450	0	갱신	사용	49,000	0	보기
59.99	20	7	22.08~24.08	52,500	0	갱신	사용	50,000	0	보기
59.99	11	6	22.08~24.08	50,000	50	신규	-	-	-	보기
59.99	5	5	22.09~24.09	50,715	0	갱신	사용	48,300	0	보기
59.99	5	5	-	50,715	0	-	-	-	-	보기
59.99	19	5	22.09~24.03	51,000	0	갱신	-	51,000	0	보기
84.99	19	5	22.07~24.07	76,000	0	갱신	-	66,000	0	보기
84.99	4	1	-	68,000	0	-	-	-	-	보기
6월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
84.99	6	30	22.08~24.08	50,000	75	신규	-	-	-	보기
59.99	5	28	22.08~24.08	8,000	185	신규	-	-	-	보기
59.99	4	25	-	25,000	58	-	-	-	-	보기
59.99	9	25	22.06~24.06	52,000	0	갱신	사용	50,000	0	보기
84.99	17	25	22.08~24.08	30,000	140	신규	-	-	-	보기
84.99	9	25	22.08~24.08	63,000	0	갱신	사용	60,000	0	보기
84.99	13	22	22.08~24.08	77,000	0	신규	-	-	-	보기
84.99	17	21	22.07~24.07	78,000	0	신규	-	-	-	보기
59.99	3	19	22.06~24.06	5,000	140	-	-	-	-	보기
59.99	20	17	22.06~24.06	56,000	0	갱신	-	50,000	0	보기
84.99	7	17	22.10~24.10	80,000	0	갱신	-	67,000	0	보기
59.99	10	16	22.08~23.08	55,650	0	신규	-	-	-	보기
59.99	10	16	-	55,650	0	-	-	-	-	보기
84.99	15	14	22.07~24.07	66,150	0	갱신	사용	63,000	0	보기
128.81	16	14	22.08~24.08	90,000	60	신규	-	-	-	보기
84.99	10	12	22.09~24.09	65,000	45	신규	-	-	-	보기
128.81	8	11	22.08~24.08	50,000	180	신규	-	-	-	보기
128.81	10	9	22.08~24.08	115,000	0	신규	-	-	-	보기
84.99	5	8	-	66,000	0	-	-	-	-	보기
59.99	11	7	22.10~24.10	27,000	80	신규	-	-	-	보기
59.99	3	3	22.07~24.07	32,000	58	갱신	사용	32,000	50	보기
84.99	7	2	22.08~24.08	68,250	0	-	-	-	-	보기
84.99	7	1	22.08~24.08	20,000	170	갱신	-	5,000	158	보기
84.99	2	1	22.07~24.07	76,000	0	신규	-	-	-	보기
5월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
84.99	13	30	-	15,000	139	갱신	사용	15,000	130	보기
152.1	4	30	22.06~24.06	110,000	80	신규	-	-	-	보기
59.99	16	28	22.09~24.09	45,000	15	신규	-	-	-	보기
84.99	19	27	22.06~24.06	63,000	0	갱신	사용	60,000	0	보기
84.99	17	26	22.07~24.07	68,250	0	갱신	사용	65,000	0	보기
84.99	1	25	-	60,900	0	갱신	사용	58,000	0	보기
84.99	12	25	22.08~24.08	80,000	0	신규	-	-	-	보기
59.99	3	23	22.07~24.07	48,825	0	갱신	사용	46,500	0	보기
84.99	3	23	-	20,000	132	-	-	-	-	보기
128.81	8	21	22.07~24.07	60,000	180	신규	-	-	-	보기
59.99	8	18	22.06~24.06	7,000	185	신규	-	-	-	보기
128.81	12	18	22.06~24.06	74,500	0	갱신	사용	71,000	0	보기
128.81	16	14	22.07~24.07	80,000	130	신규	-	-	-	보기
119.63	13	12	22.07~24.07	35,000	100	신규	-	-	-	보기
59.99	15	11	22.05~24.05	52,500	0	갱신	사용	50,000	0	보기
84.99	16	9	22.07~24.07	59,000	45	갱신	-	59,000	0	보기
128.81	5	9	22.05~24.05	88,200	0	갱신	사용	84,000	0	보기
128.81	7	4	22.07~24.07	100,000	0	갱신	-	70,000	0	보기
128.81	14	3	22.06~24.06	105,000	0	신규	-	-	-	보기
59.99	3	2	22.07~24.07	65,000	0	신규	-	-	-	보기
4월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
84.99	1	30	22.06~24.06	70,000	0	신규	-	-	-	보기
59.99	11	28	22.05~24.05	5,000	170	신규	-	-	-	보기
59.99	6	28	22.07~24.07	70,000	0	신규	-	-	-	보기
59.99	6	27	22.05~24.05	10,000	106	갱신	사용	10,000	100	보기
59.99	14	26	22.07~24.07	67,000	0	신규	-	-	-	보기
84.99	10	26	22.06~24.06	75,000	0	신규	-	-	-	보기
84.99	10	26	-	75,000	0	-	-	-	-	보기
59.99	13	22	22.05~24.05	5,000	200	신규	-	-	-	보기
59.99	7	22	22.04~24.04	56,700	0	갱신	사용	54,000	0	보기
128.81	3	22	22.05~24.05	84,000	0	갱신	사용	80,000	0	보기
84.99	20	21	22.07~24.07	61,700	0	갱신	사용	58,800	0	보기
128.81	13	20	22.04~24.04	89,250	0	갱신	사용	85,000	0	보기
84.99	15	18	22.06~24.06	75,000	0	신규	-	-	-	보기
84.99	15	18	22.06~24.06	75,000	0	신규	-	-	-	보기
84.99	9	16	22.06~24.06	50,000	50	갱신	사용	50,000	40	보기
84.99	2	14	22.05~24.05	15,000	139	갱신	사용	15,000	130	보기
152.1	3	14	22.04~24.04	89,250	0	갱신	사용	85,000	0	보기
59.99	13	13	22.04~24.04	54,600	0	갱신	사용	52,000	0	보기
128.81	7	11	-	105,000	0	-	-	-	-	보기
128.81	7	11	22.05~24.05	105,000	0	신규	-	-	-	보기
59.99	6	9	22.06~24.06	51,450	0	갱신	사용	49,000	0	보기
84.99	16	9	22.07~24.11	67,000	0	갱신	사용	67,000	0	보기
84.99	9	9	22.04~23.04	68,250	0	갱신	사용	65,000	0	보기
84.99	18	6	22.04~22.12	65,000	80	신규	-	-	-	보기
84.99	14	6	22.06~24.06	80,000	0	신규	-	-	-	보기
128.81	7	6	22.04~24.04	84,000	0	갱신	사용	80,000	0	보기
84.99	12	1	22.04~23.04	43,500	50	갱신	-	40,000	50	보기
128.81	11	1	22.04~24.11	60,000	145	신규	-	-	-	보기
3월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
59.99	2	31	22.03~23.03	5,000	130	신규	-	-	-	보기
84.99	10	31	22.03~24.03	63,000	0	갱신	사용	60,000	0	보기
128.81	14	30	22.03~24.03	10,000	250	갱신	-	10,000	220	보기
128.81	15	30	22.04~24.04	81,900	0	갱신	사용	78,000	0	보기
128.81	13	30	22.03~24.03	82,000	0	갱신	-	78,000	0	보기
84.99	5	29	22.03~24.03	20,000	115	갱신	사용	30,000	80	보기
59.99	13	28	22.06~24.06	5,000	133	갱신	사용	5,000	126	보기
59.99	2	26	22.04~24.04	52,500	0	갱신	사용	50,000	0	보기
84.99	3	26	22.05~24.05	75,000	0	신규	-	-	-	보기
84.99	3	26	-	75,000	0	-	-	-	-	보기
84.99	16	25	22.04~24.04	70,000	0	신규	-	-	-	보기
84.99	14	21	22.05~24.05	75,000	0	신규	-	-	-	보기
84.99	4	12	22.03~24.03	64,000	0	갱신	사용	61,000	0	보기
84.99	16	12	22.03~24.03	67,000	0	갱신	-	61,000	0	보기
84.99	17	10	22.06~24.06	75,000	0	신규	-	-	-	보기
59.99	17	8	22.04~24.04	65,000	0	신규	-	-	-	보기
84.99	8	8	22.03~24.03	30,000	108	갱신	사용	30,000	100	보기
84.99	1	8	22.03~24.03	63,000	0	갱신	사용	60,000	0	보기
59.99	10	5	22.03~24.03	54,500	0	갱신	-	52,000	0	보기
84.99	4	5	22.05~24.05	10,000	190	신규	-	-	-	보기
59.99	3	4	22.05~25.05	70,000	0	-	-	-	-	보기
2월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
128.81	2	26	22.02~24.02	83,000	0	갱신	-	78,000	0	보기
59.99	4	25	22.04~24.04	45,000	0	신규	-	-	-	보기
59.99	4	25	-	45,000	0	-	-	-	-	보기
59.99	9	25	22.03~24.03	52,500	0	갱신	사용	50,000	0	보기
84.99	2	25	-	64,000	0	-	-	-	-	보기
84.99	13	25	22.02~24.02	67,200	0	갱신	사용	64,000	0	보기
84.99	16	25	22.04~24.04	80,000	0	신규	-	-	-	보기
59.99	2	24	22.02~24.02	52,500	0	갱신	사용	50,000	0	보기
128.81	4	24	22.03~24.03	84,000	0	갱신	사용	80,000	0	보기
84.99	17	23	22.04~24.03	72,000	0	신규	-	-	-	보기
84.99	17	23	-	72,000	0	-	-	-	-	보기
84.99	8	23	22.04~24.04	85,000	0	신규	-	-	-	보기
59.99	4	22	22.02~24.02	60,000	0	갱신	-	48,000	0	보기
84.99	6	19	22.02~24.02	69,000	0	갱신	사용	66,000	0	보기
128.81	1	18	22.06~24.06	100,000	0	신규	-	-	-	보기
59.99	9	17	22.04~24.04	40,000	80	신규	-	-	-	보기
128.81	11	15	22.03~24.03	110,000	0	신규	-	-	-	보기
84.99	20	12	22.03~24.02	40,000	55	갱신	사용	40,000	55	보기
84.99	2	12	22.04~24.04	55,000	80	신규	-	-	-	보기
84.99	2	12	-	55,000	80	-	-	-	-	보기
84.99	3	12	22.03~24.03	67,200	0	갱신	-	64,000	0	보기
59.99	5	11	-	54,600	0	-	-	-	-	보기
84.99	20	11	22.03~23.03	67,200	0	갱신	사용	64,000	0	보기
84.99	10	11	22.02~24.02	79,000	0	갱신	-	64,000	0	보기
84.99	2	10	22.03~24.03	87,000	0	신규	-	-	-	보기
128.81	2	10	22.04~24.04	78,750	0	갱신	사용	75,000	0	보기
59.99	5	9	22.02~24.02	52,500	0	갱신	사용	50,000	0	보기
84.99	3	7	-	68,000	0	-	-	-	-	보기
84.99	13	5	22.03~24.03	82,000	0	신규	-	-	-	보기
59.99	6	3	22.03~24.03	65,000	0	신규	-	-	-	보기
128.81	11	3	-	110,000	0	-	-	-	-	보기
152.1	11	3	-	110,000	0	-	-	-	-	보기
1월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
